Procedure Code,Description,Cost,Requires Tooth Number,Requires Surface Code,Procedure Type,Auto Add,Number of Surfaces,Treatment Areas
150,Comp. Oral Exam,90,FALSE,FALSE,,TRUE,,
220,Intraoral - periapical first film,30,FALSE,FALSE,,FALSE,,Radiology
230,Additional Film,24,FALSE,FALSE,,FALSE,,Radiology
272,Bitewings - 2 films,47,FALSE,FALSE,,FALSE,,Radiology
274,Bitewings -4 films,67,FALSE,FALSE,,FALSE,,Radiology
330,Panoramic film,125,FALSE,FALSE,,FALSE,,Radiology
431,Oral Cancer Screening,67,FALSE,FALSE,,FALSE,,
1110,Prophy - Adult,94,FALSE,FALSE,,FALSE,,Hygiene
1120,Prophy - Child,68,FALSE,FALSE,,FALSE,,"Hygiene, Pediatrics"
1206,Fluoride Varnish,48,FALSE,FALSE,,FALSE,,
1330,Oral Hygiene Instruction,30,FALSE,FALSE,,FALSE,,"Hygiene, Pediatrics"
1351,Sealant -per tooth,55,TRUE,FALSE,,FALSE,,"Hygiene, Pediatrics"
2140,Amalgam 1 surface perm,134,TRUE,TRUE,Amalgam,FALSE,1,
2150,Amalgam 2 surface perm,168,TRUE,TRUE,Amalgam,FALSE,2,
2160,Amalgam 3 surface perm,196,TRUE,TRUE,Amalgam,FALSE,3,
2161,Amalgam 4 surface perm,239,TRUE,TRUE,Amalgam,FALSE,4
2330,Resin 1 surf. Anterior,157,TRUE,TRUE,Ant Composite,FALSE,1
2331,Resin 2 surf. Anterior,187,TRUE,TRUE,Ant Composite,FALSE,2
2332,Resin 3 surf. Anterior,229,TRUE,TRUE,Ant Composite,FALSE,3
2335,Resin 4 surf. w/incis angle,297,TRUE,TRUE,Ant Composite,FALSE,4
2390,Resin based composite crown anterior,413,TRUE,TRUE,Composite,FALSE,4
2391,Resin 1 surf. posterior-perm,173,TRUE,TRUE,Post Composite,FALSE,1
2392,Resin 2 surf. posterior-perm,222,TRUE,TRUE,Post Composite,FALSE,2
2393,Resin 3 surf. posterior-perm,280,TRUE,TRUE,Post Composite,FALSE,3
2394,Resin-based Composite - four or more surfaces poserior,345,TRUE,TRUE,Post Composite,FALSE,4
2910,Recement Inlay,104,TRUE,FALSE,,FALSE,
2920,Recement crown,106,TRUE,FALSE,,FALSE,
2930,Stainless steel crown prim.,300,TRUE,FALSE,,FALSE,
2931,Prefab. Stainless steel crown permanent tooth,355,TRUE,FALSE,,FALSE,
2933,Stainless steel crown w / resin window,332,TRUE,FALSE,,FALSE,
2940,Sedative/Temporary Filling,112,TRUE,FALSE,,FALSE,
2950,Core buildup for crown,300,TRUE,FALSE,,FALSE,,
2951,Pin retention,72,TRUE,FALSE,,FALSE,,
2954,refab post & cored,315,TRUE,FALSE,,FALSE,,
3110,Pulp cap - direct,84,TRUE,FALSE,,FALSE,,
3120,Pulp cap - indirect,79,TRUE,FALSE,,FALSE,,
3220,Therapeutic Pulpotomy,200,TRUE,FALSE,,FALSE,,
3240,Pulpal Therapy Posterior,298,TRUE,FALSE,,FALSE,,
3310,Root Canal - Anterior,825,TRUE,FALSE,,FALSE,,Endodontics
3320,Root Canal - Bicuspid,950,TRUE,FALSE,,FALSE,,Endodontics
3330,Root Canal - Molar,1195,TRUE,FALSE,,FALSE,,Endodontics
3340,Root Canal - 4+ Canals,0,TRUE,FALSE,,FALSE,,
3346,Retreatment of previous root canal - anterior,775,TRUE,FALSE,,FALSE,,
4210,Gingivectomy - four or more contiguous teeth,600,TRUE,FALSE,,FALSE,,
4211,Gingivectomy or gingivoplasty 1-3 teeth per quadrant,252,TRUE,FALSE,,FALSE,,
4249,Clinical Crown Lengthening - hard tissue,702,TRUE,FALSE,,FALSE,,
4341,Perio Scale & Root Plane Quad.,231,TRUE,FALSE,,FALSE,,
4342,Perio Scale & Root Plane/tooth,169,TRUE,FALSE,,FALSE,,
4355,Full Mouth Debridement,184,FALSE,FALSE,,FALSE,,"Hygiene, Pediatrics"
5110,Complete Maxillary Denture,1695,TRUE,FALSE,,FALSE,,
5120,Complete Mandibular Denture,1700,TRUE,FALSE,,FALSE,,
5130,Immediate Maxillary Denture,1841,TRUE,FALSE,,FALSE,,
5140,Immediate Mandibular Denture,1846,TRUE,FALSE,,FALSE,,
5211,Maxillary partial denture resin base,1200,TRUE,FALSE,,FALSE,,Surgery
5212,Mandibular partial,1223,TRUE,FALSE,,FALSE,,
5213,Maxillary partial denture,1622,TRUE,FALSE,,FALSE,,
5214,Mand partial,1615,TRUE,FALSE,,FALSE,,
5216,Low Part. Cast noble cast base,0,TRUE,FALSE,,FALSE,,
5281,Removable unilat part denture,926,TRUE,FALSE,,FALSE,,
5410,Maxillary Denture Adjustment,83,TRUE,FALSE,,FALSE,,
5411,Mandibular Denture Adjustment,84,TRUE,FALSE,,FALSE,,
5421,Adjust partial denture maxillary,83,TRUE,FALSE,,FALSE,,
5422,Adjust partial denture - mand,83,TRUE,FALSE,,FALSE,,
5510,Repair complete denture base,206,TRUE,FALSE,,FALSE,,
5520,Replace tooth on denture,175,TRUE,FALSE,,FALSE,,
5610,Repair resin denture base,200,TRUE,FALSE,,FALSE,,
5620,Repair cast framework,275,TRUE,FALSE,,FALSE,,
5630,Repair or replace broken clasp,250,TRUE,FALSE,,FALSE,,
5640,Replace broken teeth,177,TRUE,FALSE,,FALSE,,
5650,Add tooth to partial,210,TRUE,FALSE,,FALSE,,Surgery
5660,Add clasp exist part denture,253,TRUE,FALSE,,FALSE,,
5710,Rebase complete maxil denture,527,TRUE,FALSE,,FALSE,,
5711,Rebase complete mand denture,527,TRUE,FALSE,,FALSE,,
5720,Rebase maxil partial denture,527,TRUE,FALSE,,FALSE,,
5721,Rebase mand partial denture,527,TRUE,FALSE,,FALSE,,
5730,Reline complete maxil-chairside,350,TRUE,FALSE,,FALSE,,
5731,Reline complete mand-chairside,350,TRUE,FALSE,,FALSE,,
